time_ms,alt,ax,ay,az,temp
340673,0.8,0.075,-0.058,0.928,26.1
341931,0.9,0.078,-0.060,0.944,26.1
343187,1.0,0.082,-0.049,0.932,26.1
344443,1.2,0.078,-0.051,0.953,26.1
345699,0.7,0.084,-0.054,0.935,26.1
346955,0.7,0.072,-0.046,0.940,26.1
348211,0.9,0.080,-0.061,0.930,26.1
349467,0.7,0.065,-0.049,0.935,26.1
350723,1.0,0.062,-0.048,0.937,26.1
351979,1.2,0.071,-0.048,0.946,26.1
353235,0.8,0.084,-0.050,0.939,26.1
354491,1.2,0.074,-0.045,0.942,26.1
355747,0.8,0.078,-0.042,0.940,26.1
357003,1.0,0.081,-0.043,0.946,26.1
358259,1.5,0.063,-0.038,0.942,26.1
359518,1.2,0.075,-0.059,0.929,26.1
360774,1.1,0.067,-0.037,0.943,26.1
362030,1.1,0.065,-0.054,0.944,26.0
363286,1.0,0.072,-0.055,0.940,26.1
364542,1.2,0.057,-0.046,0.913,26.1
365798,1.5,0.083,-0.053,0.934,26.0
367054,1.2,0.068,-0.054,0.936,26.0
368310,1.2,0.065,-0.057,0.936,26.0
369566,1.3,0.065,-0.055,0.939,26.0
370822,1.2,0.063,-0.049,0.934,26.0
372078,1.1,0.088,-0.051,0.941,26.1
373334,0.9,0.072,-0.057,0.939,26.0
374590,1.4,0.073,-0.048,0.938,26.0
375846,0.9,0.073,-0.045,0.933,26.0
377105,1.1,0.073,-0.056,0.943,26.0
378361,1.1,0.070,-0.022,0.952,26.0
379617,1.1,0.078,-0.049,0.938,26.0
380873,1.3,0.203,0.034,0.927,26.1
382129,1.0,0.082,-0.066,0.934,26.1
